Hour;TL1H80;TL2H80;TL3H80;TL4H80;TL5H80;TL6H80;TL7H80;TL8H80;TL9H80;TL10H80;WSL1H80;WSL2H80;WSL3H80;WSL4H80;WSL5H80;WSL6H80;WSL7H80;WSL8H80;WSL9H80;WSL10H80;WDL1H80;WDL2H80;WDL3H80;WDL4H80;WDL5H80;WDL6H80;WDL7H80;WDL8H80;WDL9H80;WDL10H80
3;13.51666667;13.31666667;12.51666667;13.78333333;14.78333333;14.05;14.05;14.21666667;11.15;11.41666667;9.455697559;4.738425942;3.92096405;10.69955551;8.472671695;11.64369954;7.766124986;10.12304912;9.931067094;7.414390035;24.36027592;63.69184283;45.06739802;32.39744231;25.59238695;35.79501972;41.72444166;52.28882906;67.68700578;51.18790917
7;11.45;10.75;10.15;12.05;13.65;13.75;13.55;14.55;13.65;10.85;9.017782433;5.244091914;6.252359555;11.55013853;7.935552911;9.17139575;12.40042338;11.47090668;10.92059522;8.666585256;27.7585406;75.19526534;10.87860477;29.62797641;9.355493657;0.999606826;23.98125448;22.33938222;28.13729765;30.20409054
11;12.91666667;11.83888889;12.86111111;12.66111111;13.03888889;12.43888889;14.35;15.15;13.87222222;12.10555556;8.786822835;4.465795364;8.326110137;13.24075796;10.49596612;12.58048038;9.339235308;13.15457055;11.80882684;10.72727745;20.63532201;52.46188239;-2.211180747;15.53281203;10.20389589;2.002671033;26.12800525;7.383748682;0.531148439;10.61597439
18;12.1;11.98888889;13.90277778;12.53611111;12.43888889;11.33888889;12.625;14.4;12.34722222;12.79722222;7.779564895;3.30907582;6.85728298;11.03402728;6.445461479;12.92773387;7.290435151;11.18618573;10.44382292;8.916687655;0.747605542;28.60847221;-9.581543712;23.14439549;29.88042934;20.72838926;24.03855819;3.634065815;8.45865365;7.903370462
21;11.51666667;11.35;13.45;11.78333333;12.15;11.51666667;12.15;13.81666667;11.61666667;12.31666667;8.13648946;3.747624125;7.948924033;12.4337922;8.25569219;15.46266609;7.715994204;12.86769609;13.21779424;10.84357537;2.228222113;30.561779;-4.31718943;15.65530409;28.74608947;24.65635027;23.78888719;4.667183279;13.72871386;5.969670615
24;10.58333333;10.61666667;12.71666667;10.55;13.05;11.88333333;12.25;13.48333333;11.61666667;11.08333333;7.456738844;4.917172681;9.117204887;11.72177087;6.182639864;14.82240155;9.439411226;12.86611786;12.48542511;9.669748245;18.36915107;50.68324823;-3.683762965;15.66501838;33.18109451;27.65920591;25.42186447;12.46094784;17.8933929;7.311027011
2;10.25;10.11666667;12.08333333;10.05;13.05;12.18333333;12.28333333;13.31666667;11.65;10.28333333;6.74347936;4.609469856;9.433246984;11.54707637;5.77690045;15.17957787;9.384182219;13.38027045;12.76420242;9.27184074;22.37700603;59.17148726;-4.363943389;16.68444599;32.51999046;26.38551951;26.2528582;13.91331919;18.74991408;8.470259128
9;10.31666667;8.75;12.38333333;10.31666667;12.21666667;14.08333333;12.75;13.18333333;12.61666667;10.08333333;3.648347721;2.969376605;10.37687157;12.29664438;6.732416123;14.51848127;5.909324902;14.08183397;15.82436998;9.899847877;24.946931;76.33209477;-0.547336423;16.78741341;27.69409998;10.92343526;25.25059753;9.044719331;10.95647107;11.99540743
10;10.75;9.05;12.85;10.65;12.25;14.25;13.45;13.25;13.05;10.15;3.471440623;2.69;11.08913432;12.81802247;8.02611363;15.44141185;5.098097684;14.91662495;16.87473852;10.76443217;20.57536274;75.13718406;-2.325716481;13.94951388;15.61199961;8.791299253;24.20212338;5.809965346;7.765166018;10.32865028
12;12.95;11.65;14.58333333;12.71666667;12.91666667;14.65;14.71666667;14.31666667;13.71666667;11.21666667;2.873162932;2.611050262;9.332909744;10.19802459;5.386352992;13.14116283;4.71904211;11.49012891;14.00045926;7.901029145;44.89231084;67.66783498;1.484985986;17.75527821;23.88031328;14.01139327;11.61431035;8.097143183;9.96138855;9.430773556
15;13.58333333;12.55;15.31666667;13.15;13.38333333;14.71666667;14.81666667;14.98333333;13.98333333;11.75;2.667440107;2.436629109;7.578830677;9.291901956;6.665611208;13.2643317;3.881541668;11.92664485;13.70755145;7.520143588;21.12900854;47.08425898;-6.735051081;7.639175231;19.03295126;14.01819616;9.229195531;7.615256823;6.149146114;5.369283537
16;13.35;12.35;15.25;12.85;13.45;14.65;14.55;15.05;13.95;11.75;2.714148117;2.369155968;7.140847289;9.493840108;7.965180475;13.90097838;3.55755534;13.00152683;14.27966736;8.045551566;3.168120376;38.65980825;-11.79774523;1.629682657;14.54219183;12.7165741;11.18359138;6.802519183;3.693969263;3.563007709
19;12.95;11.15;14.75;12.05;12.65;14.55;13.35;14.65;13.85;11.95;2.26715681;2.728534405;5.482335269;6.972072862;4.4;10.51800837;2.026252699;9.04018252;11.51816392;6.193448151;11.70643673;51.99609646;-7.125016349;16.92751306;36.86989765;22.17568803;35.965005;13.23689084;14.32579643;10.98336095
23;11.28333333;9.116666667;13.11666667;10.41666667;11.88333333;14.28333333;12.01666667;14.25;13.61666667;10.11666667;2.287047579;2.467923993;7.246560728;7.923754592;5.84896722;11.9669833;2.539289985;10.8223584;12.23113203;6.506116629;2.826611096;84.9952537;-0.733158525;12.78353044;28.74855703;12.04401961;22.29325538;12.40418968;8.684949158;4.602652639
24;10.71666667;8.683333333;12.78333333;9.983333333;12.01666667;14.31666667;11.28333333;14.25;13.78333333;9.683333333;2.203441239;2.882241402;7.092952539;7.837403067;4.39064356;11.49825592;2.60564649;11.24832319;11.46601459;5.770879794;14.87714447;90.37021764;-1.853444804;17.45719008;28.96800483;10.74463077;26.44463242;12.3094599;7.400226362;10.31309665
14;10.48333333;9.683333333;13.48333333;11.15;11.28333333;12.58333333;12.68333333;14.38333333;13.15;11.31666667;1.921727412;1.381386921;3.507914252;5.159774952;4.913491379;10.11232628;1.789098586;7.886768424;9.297167644;3.86077429;12.33358265;88.09908131;-14.64176126;8.905961909;34.2803146;32.02330399;-3.784027832;4.022814451;12.8511717;12.10852538
15;10.41666667;9.916666667;13.51666667;10.95;11.31666667;12.41666667;12.31666667;14.41666667;12.95;11.18333333;2.156742044;1.589317408;2.818722358;5.556336703;5.057370614;10.7864271;1.978165923;7.659043642;9.849182345;4.431791751;12.69103286;81.79945727;-19.82120031;9.239523163;30.20099255;30.32286676;-7.209961704;3.592768762;13.89129444;14.23933814
22;9.45;9.05;12.15;7.55;8.55;11.55;9.55;10.65;10.15;7.15;1.762384748;1.511687798;1.458012346;6.003540622;5.316135815;11.33618101;3.666128748;8.907957117;10.00358436;5.326537337;9.141640224;115.8870263;53.36588612;14.96215525;49.95983767;32.97513405;49.31394835;21.46697888;17.51119556;24.15908066
23;9.283333333;8.783333333;11.31666667;7.45;9.05;11.45;9.216666667;10.35;10.25;7.15;2.119427739;2.019336339;2.500947587;6.149578253;4.944348456;11.01610661;3.54083355;8.978820821;9.884854049;5.322668823;19.94988336;112.287859;34.53579133;16.22288639;56.2842623;33.35638844;48.57388287;22.06068024;20.25468493;20.41873921
2;8.883333333;8.15;8.883333333;7.083333333;10.08333333;11.25;8.783333333;9.483333333;10.51666667;6.983333333;2.710153335;2.720616326;4.899764823;6.587093038;4.697194209;10.94533062;3.209506152;9.473497438;10.08086648;5.420759568;33.78234597;103.9191565;-1.218550328;18.68512011;58.31250368;31.45251686;46.70599332;21.68523643;23.28402551;11.8965435
3;8.816666667;8.05;8.116666667;6.916666667;10.11666667;11.25;9.016666667;9.216666667;10.58333333;6.816666667;2.58679295;2.406599232;5.212711578;6.732532561;5.193614679;11.51470346;3.128769152;9.826446647;10.51433952;5.52658734;25.99832231;102.7487885;0.687297598;18.62589157;47.69189582;28.78613651;46.31823471;20.1223899;20.82638737;10.85503068
4;8.75;7.95;7.35;6.75;10.15;11.25;9.25;8.95;10.65;6.65;2.463432565;2.092582137;5.525658332;6.877972085;5.690035149;12.0840763;3.048032152;10.17939586;10.94781257;5.632415113;18.21429864;101.5784206;2.593145524;18.56666303;37.07128796;26.11975616;45.9304761;18.55954336;18.36874922;9.813517859
7;6.75;6.15;5.15;7.05;10.45;11.75;6.85;9.05;10.85;6.95;1.670269439;1.830027322;5.729310604;7.04622594;3.771074118;8.870541133;2.693120866;9.271213513;9.660569341;4.322244787;-19.95379922;151.6144245;-4.705507132;34.88543592;35.50235364;18.94559287;20.65564665;30.96375653;15.92095579;37.47968625
9;7.883333333;7.016666667;6.35;7.916666667;10.45;12.01666667;8.05;10.51666667;11.31666667;7.416666667;1.408343234;2.432583599;4.840564557;6.583922679;4.307889793;10.05629929;1.608887508;10.38772517;10.75157891;4.525081434;59.6569484;155.3292601;5.068251553;33.27132865;34.40991159;13.71446379;27.15926973;19.37405703;10.05280236;37.63460055
19;8.65;8.75;9.65;10.95;11.95;12.35;9.85;12.15;10.65;9.15;2.823490747;3.614484749;3.73202358;3.444009292;4.086489936;5.87793331;2.839383736;3.712600167;5.360195892;3.686475281;103.1010861;154.7820023;162.5360731;143.2631934;109.5878043;69.06746463;132.0022114;18.04452366;14.47697154;118.1639114
2;9.416666667;8.283333333;7.05;8.183333333;11.61666667;11.55;10.15;10.21666667;9.016666667;7.083333333;4.351484836;4.097275764;4.807440805;6.338327842;7.101352509;7.57425938;4.371714914;4.595458744;6.383173713;4.650793185;54.65224777;127.3174591;155.9364868;90.18468751;82.03599182;84.45813514;64.2748657;90.7359739;81.82292492;110.9072902
11;8.916666667;7.516666667;7.85;8.483333333;11.81666667;12.51666667;10.88333333;12.01666667;11.25;6.983333333;5.11402428;3.439571041;3.643865034;8.326361705;8.805327584;12.32911468;5.60782403;9.051617257;9.295519826;4.975369852;22.68714715;50.28525203;8.844084106;22.01303593;32.15795272;31.4383444;22.16034457;41.72485695;51.02953287;30.78897621
13;9.65;8.45;9.25;9.35;12.35;12.65;11.55;13.95;12.85;9.05;4.285907139;3.288236609;2.753942628;7.329699857;7.87122608;10.20727682;4.424036618;8.829994337;8.094844038;5.681478681;13.35534096;25.00636697;-10.24902078;21.27883769;20.1385815;20.83197735;18.31208458;25.34617594;40.34026784;19.96587471
20;8.45;8.816666667;9.75;9.383333333;8.616666667;8.383333333;8.15;11.35;10.55;8.55;7.967141428;5.270619254;4.966630597;10.55944615;11.03226664;11.46612909;6.315420789;10.1606116;9.304356709;8.616001854;21.66214824;38.10160492;22.65990039;39.77011174;22.56493373;34.74720013;33.99370567;41.0327431;29.68154812;35.02432918
6;5.483333333;5.816666667;6.283333333;4.783333333;6.083333333;6.183333333;6.416666667;6.35;5.55;4.416666667;6.105324386;4.222630681;8.687704218;9.773706591;9.868067976;14.16163865;7.233141092;11.6690263;13.36098154;9.801372166;-8.666289773;16.67023479;-7.560284539;21.41228477;25.27514843;27.86100261;7.133578265;21.47858139;24.10629507;8.964908242
10;5.85;5.55;7.15;5.95;6.95;7.05;6.55;7.35;6.35;5.45;7.053126966;3.012507261;9.761577741;12.94522692;12.25643097;15.70483365;7.356391779;15.0040028;16.18321661;11.80823865;-1.706178294;10.71312302;-5.290081205;16.37705161;10.53063324;13.51418054;11.05026263;12.47082024;12.81682026;11.52879919
15;7.116666667;7.45;8.683333333;7.383333333;8.25;8.416666667;7.416666667;8.35;7.816666667;6.183333333;5.341058221;3.872331637;8.957397161;9.997636934;8.232091472;12.96170071;5.974714185;11.87772039;11.93927999;9.280886059;18.61324106;35.1645054;-8.403571171;13.48660259;20.74084243;13.24424213;13.38840388;-1.502083842;7.307087148;4.651628151
22;5.95;5.85;7.15;6.15;7.05;6.65;5.85;7.35;6.45;5.35;8.043979115;3.832544846;5.481140392;10.90915212;10.54131396;12.26783192;5.980376242;10.9423078;11.77326208;9.86254531;12.93055147;44.78857742;29.51149856;23.55720169;50.04132504;35.87972188;25.45098796;22.62792059;20.32820755;22.22213915
5;7.783333333;6.116666667;7.283333333;6.716666667;10.85;8.55;7.783333333;7.15;5.85;5.316666667;13.31425513;5.542890257;10.38599192;15.56136159;15.00261011;8.089511819;12.64616397;11.57310097;7.963451645;11.91031394;16.47434621;51.03638386;13.67665501;21.18516766;25.41179668;62.52331385;21.92262454;30.63538528;61.62782974;20.34490285
11;10.45;9.35;11.55;8.516666667;12.45;12.48333333;11.58333333;10.08333333;9.283333333;7.483333333;10.93619693;5.008196766;15.82938575;15.61526685;14.76518171;16.9372935;12.9066455;17.65268763;10.44880771;14.74492641;23.32571426;49.38416602;0.175545649;11.81275172;13.21327547;5.33405958;23.19579266;20.6490791;33.23496705;11.12217002
12;11.25;10.55;12.65;9.283333333;12.85;12.51666667;12.51666667;10.81666667;10.61666667;7.916666667;9.295359235;5.039275891;15.14906223;14.23282798;13.32769388;16.01730557;12.36065929;17.6475583;12.02707429;13.28819858;26.80454566;50.91812173;-3.086696105;13.25432849;15.90030316;3.559021622;22.81829861;19.62930785;18.68279496;11.93316745
15;11.98333333;11.88333333;13.48333333;10.45;12.71666667;12.75;13.31666667;12.28333333;12.01666667;9.083333333;9.825353786;4.874106055;14.120743;15.06605188;14.63681655;16.49420949;12.08051997;19.18251214;14.28254633;14.09620042;25.18783387;39.8553435;-11.91886838;10.97001328;12.08822447;-3.970717144;22.26426835;9.461610877;-6.890655744;8.369592789
20;11.55;10.95;12.15;9.583333333;11.85;12.48333333;12.65;11.91666667;7.65;9.35;8.635791325;4.210248599;10.42133691;12.91404328;10.08259273;9.716843444;10.43161033;15.06995866;4.293788403;12.82817203;26.57338865;87.94115415;-11.77706578;10.0552563;14.53804689;-5.614663646;30.9006857;2.945528519;-107.4516109;10.2058725
1;11.65;11.25;11.25;7.85;10.65;12.45;12.85;12.45;5.75;8.65;9.09639489;4.953271646;10.02741243;9.098857071;4.250188231;11.65402935;10.30320824;12.04050248;3.734193353;7.995648817;26.79040215;65.29756977;-8.776571726;15.68590592;44.14205745;11.98487678;31.86980703;-0.52345186;143.7131673;3.585274269
5;10.75;10.31666667;8.783333333;7.116666667;9.983333333;12.15;11.65;11.88333333;7.516666667;7.45;8.155878202;4.411404861;7.690874446;9.999069434;5.867534573;11.78557125;8.034025797;11.80586948;5.713191539;7.303300116;30.83494139;86.75446184;-10.26537845;21.57723077;51.19403172;24.92240529;40.97166688;10.19230846;91.00906488;14.65865239
6;10.45;9.883333333;8.616666667;7.083333333;9.916666667;11.95;11.45;11.51666667;8.883333333;7.15;8.143959883;4.545146809;6.536134159;10.38434669;5.092592198;10.62951973;7.906035912;10.85899416;5.873257832;6.569063296;33.94401354;92.9272061;-6.997232892;25.28491324;55.74103479;32.30591038;41.26589859;17.8228564;61.01898362;22.45754478
7;10.15;9.45;8.45;7.05;9.85;11.75;11.25;11.15;10.25;6.85;8.132041564;4.678888757;5.381393871;10.76962395;4.317649824;9.473468214;7.778046027;9.912118845;6.033324125;5.834826476;37.05308569;99.09995036;-3.729087337;28.9925957;60.28803785;39.68941546;41.56013031;25.45340435;31.02890236;30.25643716
12;13.18333333;12.18333333;13.28333333;10.95;10.98333333;11.38333333;15.11666667;11.81666667;11.08333333;9.55;7.627022647;4.720231606;5.395778895;9.198709677;7.160199842;11.48919041;7.205046934;7.51872506;9.274776687;6.834025276;29.02202125;50.91819198;6.041685531;15.24466454;58.16368016;37.94200171;25.8895251;4.325351924;28.41655468;17.01756574
13;13.95;13.15;14.85;12.15;11.75;11.35;15.95;12.15;11.05;10.75;7.366389889;4.850257725;5.543545797;8.32000601;6.944710217;10.6492488;7.532994093;6.130073409;8.677442019;6.097819282;27.39990327;37.46055486;9.343380962;16.19133962;72.13903341;40.31534334;19.06031873;-0.28040125;32.48132059;19.44524685
21;8.116666667;6.816666667;11.01666667;6.35;10.91666667;10.71666667;10.35;10.11666667;10.48333333;6.35;7.431130785;3.601769625;6.232462969;7.844219787;9.644243393;10.72043385;6.31000788;9.270979894;9.850438598;6.880778601;11.73359284;50.03387849;-12.07819075;14.84704994;49.3858396;32.68764898;32.83626444;32.73297773;39.94337365;12.13537621
3;7.483333333;6.783333333;8.25;7.683333333;11.61666667;9.916666667;8.45;9.983333333;10.21666667;6.316666667;7.970192766;4.723313867;3.569111832;8.578243311;9.341598544;10.1170242;6.164892578;10.84521861;9.616658264;5.993343841;28.17405208;71.22108291;16.83094869;52.194525;61.83981051;38.62674968;37.62533882;30.63406189;35.69265361;46.68505087
5;7.616666667;6.883333333;7.95;8.05;11.81666667;9.883333333;8.183333333;9.75;9.816666667;6.65;8.683877376;4.587073448;4.441997389;9.999324533;9.754299016;9.234001932;6.626222284;10.07110672;9.556713923;7.282330068;26.08098895;73.87450727;24.39248126;50.50976423;55.39514215;44.26992399;33.77936104;37.83819518;43.18902221;44.36041364
9;9.083333333;7.75;9.483333333;9.783333333;12.61666667;10.15;9.516666667;10.35;9.55;7.983333333;10.40642208;4.961020455;8.568883843;13.46912694;12.30121465;7.537180908;8.82752396;10.72697064;10.42388776;9.953183325;27.68392717;71.57056479;17.25591676;35.53839687;38.80039659;53.7412903;26.93163143;40.34886039;55.86310928;33.20922186
18;12.21666667;11.25;12.55;11.35;13.25;12.11666667;11.38333333;13.05;11.71666667;10.45;10.0769535;5.566972381;9.251238626;11.64878847;8.753755967;9.354395266;8.888548369;12.09566347;7.8572839;10.66408188;27.22447051;53.71512128;9.186018654;34.42150912;64.87445014;46.57188678;35.77842368;32.50738023;39.54557423;24.62194129
22;12.15;11.45;12.35;12.15;14.65;13.55;11.85;13.05;11.95;10.95;13.2312849;8.583641418;10.75234858;15.30620789;17.02399483;18.36677707;11.16446595;13.39667123;12.40681264;13.42184041;30.67412382;42.78107567;12.18779983;30.11632361;31.59868276;40.95995958;29.9867685;33.12068722;53.78588548;29.60192013
1;12.35;11.65;12.35;13.45;13.95;12.85;12.05;14.45;12.95;12.35;12.27079867;7.899930379;9.69829882;14.7242521;17.56570807;17.54548375;11.30161935;14.61424305;13.71728836;11.67624083;23.53580095;49.98084757;23.26064928;32.63235303;15.82442438;19.09586577;35.41980966;40.03146006;52.34482005;31.55285219
6;11.68333333;11.11666667;13.01666667;12.48333333;11.71666667;11.11666667;11.68333333;13.61666667;11.28333333;11.81666667;12.60344378;7.018226256;13.2409627;17.56458865;15.21674945;18.42963557;13.3536701;17.15376966;18.23843405;15.96927616;17.98331365;41.59980897;14.25125676;10.39227402;2.986670385;1.066259314;22.06112701;11.81421473;16.17198171;2.524066858
16;10.85;10.75;13.25;10.75;11.75;10.55;11.35;11.65;9.55;10.05;10.2138974;7.043536044;9.090489536;11.80030932;10.13179648;12.31105195;9.086429442;11.68000428;12.2799715;10.80933856;24.95928255;23.6899293;-12.64502617;11.33849942;40.79757532;31.65018747;23.06611496;-8.220288154;4.624151328;9.209612424
22;9.55;8.85;10.45;9.15;11.25;10.95;9.85;10.65;11.05;8.05;12.42290224;5.623850994;9.08665505;12.83551713;14.08915186;18.97000264;9.652875219;12.67124698;14.01172723;10.64804677;16.02775378;46.65715151;10.65451614;26.06597164;38.08185247;36.90010101;25.39699509;32.13479457;46.35910981;23.70024255
23;9.65;8.916666667;10.21666667;9.316666667;11.75;11.01666667;9.583333333;10.58333333;10.78333333;8.116666667;11.62455023;5.668660994;9.15229028;13.07802409;12.77405135;17.3969959;9.41518676;13.0057652;13.71481001;10.55090004;16.96867623;51.67118242;13.67089171;25.41342213;32.9452361;31.50384424;25.81500932;30.70921743;43.42893722;23.71463435
1;9.85;9.05;9.75;9.65;12.75;11.15;9.05;10.45;10.25;8.25;10.02784623;5.758280993;9.283560739;13.56303801;10.14385035;14.25098242;8.939809841;13.67480164;13.12097557;10.35660659;18.85052114;61.69924423;19.70364285;24.1083231;22.67200335;20.71133071;26.65103778;27.85806316;37.56859203;23.74341794
6;10.61666667;9.816666667;10.85;11.31666667;11.38333333;10.11666667;9.55;11.81666667;10.08333333;10.65;10.5516181;6.811906845;11.32496924;15.45233393;13.29133647;16.02542138;11.32003008;13.58144381;13.09954588;13.61727284;16.76403837;31.5084594;13.96125921;20.1770698;14.95119445;20.13633857;25.35020031;20.94217939;21.91024104;16.71710259
15;10.48333333;10.95;13.41666667;11.35;9.883333333;10.11666667;10.38333333;12.31666667;10.25;9.816666667;11.45986232;9.461156503;11.11015694;15.00744474;8.774728489;15.56689928;11.41960601;14.53285449;16.97183173;12.13516772;21.68979494;30.50498451;4.305992975;19.64098353;15.16410698;8.552224049;18.68582762;9.29700024;8.015811047;11.80505338
20;12.01666667;11.85;12.45;11.41666667;6.716666667;8.616666667;10.88333333;9.716666667;8.716666667;9.85;12.47336776;9.002804445;10.58175799;13.30579684;3.70439525;10.52977054;12.02035231;9.494728469;10.23997469;9.95933708;29.6780161;49.21577294;19.18791424;42.12863892;-111.3256243;23.41559419;34.78694404;21.18882501;17.6143344;30.43694602
3;11.35;11.18333333;13.21666667;9.416666667;7.683333333;6.783333333;10.88333333;7.416666667;7.65;7.983333333;14.93337491;13.5472491;16.17573695;9.820430323;8.621312216;11.35249785;15.92993597;8.592240819;11.4570093;9.108095322;21.41989914;29.48090192;7.069689967;-30.64127416;6.868846785;16.31891688;23.39447999;-7.792561965;0.080887439;-28.92451
4;11.15;11.05;12.85;8.05;7.85;6.75;10.95;7.45;7.45;6.75;16.0621605;14.46657181;16.64976276;6.759201136;10.11962944;11.45045851;17.75446423;9.730513861;11.93513301;7.436195264;21.05287732;27.85815005;3.960575909;-51.36666854;3.56927085;13.58720715;21.57968234;-4.538704222;-1.680450327;-29.21924669
13;10.45;11.75;4.35;4.75;6.95;7.85;7.65;8.05;6.95;5.15;12.71794402;19.74664528;2.577770354;3.562653505;5.840898903;8.957321028;5.487339975;7.692827829;8.45668966;4.619534609;31.79048923;29.42097645;-175.5501529;-4.830419958;5.896047313;19.56776858;63.24816618;6.718539083;9.529152403;-12.50190197
20;4.583333333;6.683333333;5.283333333;3.316666667;5.183333333;5.716666667;6.55;5.316666667;6.116666667;2.683333333;6.723150336;6.559574894;3.040580653;5.015548359;7.935658862;8.724714988;6.704726182;5.960170757;5.453735861;5.140081847;-68.58031524;-56.75361795;-77.41601236;-34.02233647;5.568362903;30.10430008;3.383198829;21.97819944;8.182221894;-30.98196895
23;2.983333333;3.783333333;3.683333333;3.283333333;4.516666667;4.816666667;3.716666667;4.683333333;5.45;2.45;5.276146792;2.993445835;7.078772751;7.059910921;9.534160053;10.11284753;3.988744593;7.666193195;6.741420578;6.072420937;-30.71176362;-58.57286559;-29.60820926;-6.427174612;14.8448892;25.38139563;-6.875438798;9.908747931;13.14671567;-16.34358731
24;2.716666667;3.616666667;3.216666667;3.116666667;4.183333333;4.383333333;3.283333333;4.316666667;5.25;2.35;4.339403758;3.976692676;7.375119682;7.775659172;8.537517667;9.405676574;4.244983324;8.144862477;6.93478801;5.639213542;-20.86224361;-15.66810422;-21.70448356;-4.69870261;23.52983705;28.03701925;8.27857359;10.36827882;13.67920675;-16.25787316
2;2.483333333;3.25;2.983333333;2.75;3.616666667;3.616666667;2.716666667;3.783333333;4.616666667;2.116666667;3.788118811;4.649959677;7.446132014;8.241767175;8.222649658;8.745677954;4.869697317;8.870274482;7.066563008;5.537791682;-15.18469296;25.69772641;-12.96512849;0.244929917;28.95824167;32.79493721;17.80659486;13.87957531;16.0979005;-10.38104364
3;2.516666667;3.05;3.216666667;2.55;3.383333333;3.283333333;2.583333333;3.616666667;4.183333333;1.983333333;4.173576898;4.339979839;7.220797415;7.992126928;8.904424035;8.792850289;5.238172579;9.117017205;7.004970574;5.869577218;-19.35666232;24.15879568;-12.12949912;3.460090441;25.70169843;34.89723155;12.18060373;16.93134092;17.98410316;-4.589928267
