Hour;TL1H80;TL2H80;TL3H80;TL4H80;TL5H80;TL6H80;TL7H80;TL8H80;TL9H80;TL10H80;WSL1H80;WSL2H80;WSL3H80;WSL4H80;WSL5H80;WSL6H80;WSL7H80;WSL8H80;WSL9H80;WSL10H80;WDL1H80;WDL2H80;WDL3H80;WDL4H80;WDL5H80;WDL6H80;WDL7H80;WDL8H80;WDL9H80;WDL10H80;WG
12;15.01666667;14.98333333;10.95;15.15;16.88333333;15.41666667;15.68333333;16.35;15.71666667;13.15;1.964859323;2.031255504;2.875570899;6.351523164;5.727360694;7.239577792;2.15052818;7.789533461;5.899785876;3.45093541;42.04225543;112.4018214;25.31494068;19.07841812;72.55009624;37.14027833;14.91958223;14.48949149;-1.612397564;34.61005459;21.85
13;16.15;16.15;11.45;16.05;17.75;15.85;16.75;16.95;16.25;13.65;1.490134222;1.530555455;1.541849539;5.564242985;6.497330221;7.616725018;1.350925609;6.41942365;4.989027961;2.923183196;37.63892233;108.6717069;30.39018057;14.78549168;78.63818485;43.98931579;-2.121096397;18.43494882;3.447386852;40.2823975;18
14;16.01666667;16.18333333;11.75;15.95;17.65;15.81666667;16.58333333;17.01666667;15.91666667;13.88333333;1.829797266;1.942162037;1.824740678;5.23026998;6.822291881;8.50803857;1.124621041;6.737098671;5.505784174;3.26244781;44.60165992;107.4783288;50.65961426;16.61101863;75.74695151;50.33009387;-13.59034939;20.32217719;10.8136641;43.60502257;15.79
15;15.88333333;16.21666667;12.05;15.85;17.55;15.78333333;16.41666667;17.08333333;15.58333333;14.11666667;2.169460309;2.353768619;2.107631816;4.896296975;7.147253541;9.399352122;0.898316473;7.054773691;6.022540386;3.601712423;51.56439751;106.2849508;70.92904796;18.43654558;72.85571817;56.67087195;-25.05960238;22.20940556;18.17994134;46.92764765;15.58
16;15.75;16.25;12.35;15.75;17.45;15.75;16.25;17.15;15.25;14.35;2.509123353;2.765375201;2.390522955;4.562323969;7.4722152;10.29066567;0.672011905;7.372448711;6.539296598;3.940977036;58.52713511;105.0915727;91.19848165;20.26207253;69.96448482;63.01165003;-36.52885537;24.09663392;25.54621858;50.25027273;9.15
17;15.35;16.11666667;12.61666667;15.65;17.18333333;15.98333333;16.11666667;16.61666667;15.28333333;14.18333333;2.757086898;3.036232247;2.269494239;4.409410579;7.778657921;10.75373859;1.084604791;8.006533191;6.587577045;4.474745665;63.96909526;112.9809966;114.266723;31.74872103;73.25689687;66.17822058;14.23410017;30.46733094;41.85304977;51.0172378;14.36
19;14.55;15.85;13.15;15.45;16.65;16.45;15.85;15.55;15.35;13.85;3.253013987;3.577946338;2.027436805;4.1035838;8.391543362;11.67988442;1.909790564;9.274702152;6.68413794;5.542282923;74.85301556;128.7598444;160.4032056;54.72201801;79.84172097;72.5113617;115.7600112;43.20872498;74.46671213;52.55116795;34.61
20;14.65;15.65;13.15;15.45;16.48333333;16.28333333;15.58333333;15.81666667;15.35;13.65;3.58352188;3.56823646;2.070705741;4.944739408;9.430582893;13.46650843;2.423155062;10.05264234;8.269897292;5.691830773;63.66028198;114.4933612;152.3737218;53.85129558;60.0604061;55.73084306;94.25215487;40.69761005;67.65498642;53.66262099;46.57
21;14.75;15.45;13.15;15.45;16.31666667;16.11666667;15.31666667;16.08333333;15.35;13.45;3.914029773;3.558526582;2.113974676;5.785895017;10.46962242;15.25313244;2.936519559;10.83058254;9.855656644;5.841378623;52.4675484;100.2268779;144.344238;52.98057315;40.27909124;38.95032442;72.74429851;38.18649511;60.84326071;54.77407402;66.34
24;14.58333333;14.51666667;13.41666667;15.25;15.21666667;14.95;14.31666667;16.35;15.55;12.91666667;5.179765838;3.259185515;1.746743059;7.532774946;8.087406107;14.81326188;5.514719205;12.88109025;13.40139221;5.676890949;23.88682563;64.6622678;97.70391041;37.52025005;-7.712804101;7.334172984;40.94693443;27.7434124;26.82687913;51.76363486;88.85
2;14.28333333;13.91666667;13.21666667;14.45;14.05;13.81666667;13.85;16.28333333;15.05;12.71666667;4.518297529;2.879047267;2.634414965;7.939730378;6.245725224;13.67408701;6.363318446;13.72054458;15.28864331;5.816207677;17.1289239;74.01240259;56.54077244;25.24814577;-18.43430803;-3.809242283;36.61045414;17.40806343;4.766063781;35.49534624;76.72
3;14.11666667;13.68333333;12.88333333;13.75;13.35;13.18333333;13.75;16.21666667;14.45;12.68333333;3.389215134;2.643724613;3.727337147;7.89382365;6.114672265;13.64815942;6.179500113;13.92371515;16.19590631;6.112542167;19.06501678;94.01160083;34.68305641;20.27084182;-15.05052171;-7.534841151;37.41872771;11.03869836;-3.69242363;21.28800372;64.13
4;13.95;13.45;12.55;13.05;12.65;12.55;13.65;16.15;13.85;12.65;2.260132739;2.40840196;4.820259329;7.847916921;5.983619306;13.62223183;5.995681779;14.12688571;17.1031693;6.408876657;21.00110965;114.0107991;12.82534037;15.29353786;-11.6667354;-11.26044002;38.22700127;4.66933328;-12.15091104;7.080661197;48.68
6;13.35;12.71666667;11.15;12.65;11.98333333;11.48333333;12.85;15.15;12.51666667;12.51666667;1.721170028;2.643778654;5.436328079;5.28930564;3.329538728;9.237433084;4.23261023;10.10674746;12.95696284;5.838351706;60.38935247;146.6322893;11.56729228;5.097845954;-30.37711372;-1.257648841;56.15392388;-4.650945553;-9.331401477;-9.668720938;22.43
7;13.05;12.35;10.45;12.45;11.65;10.95;12.45;14.65;11.85;12.45;1.451688672;2.761467001;5.744362454;4.01;2.002498439;7.045033712;3.351074455;8.096678331;10.88385961;5.55308923;80.08347388;162.9430344;10.93826824;0;-39.73230287;3.743746748;65.11738519;-9.311084969;-7.921646696;-18.04341201;14.68
8;13.35;12.68333333;10.81666667;12.71666667;11.65;10.98333333;13.11666667;14.31666667;11.71666667;12.41666667;1.620862123;2.725423841;5.088961945;3.003753941;2.438151009;7.024093513;2.842371554;8.688989319;11.18272163;4.681095294;87.21631304;160.3853912;5.418827255;10.32125218;14.35765931;5.047262019;79.92062693;-13.35599244;-10.75434184;-16.69191824;5.83
9;13.65;13.01666667;11.18333333;12.98333333;11.65;11.01666667;13.78333333;13.98333333;11.58333333;12.38333333;1.790035573;2.689380681;4.433561437;1.997507881;2.873803579;7.003153315;2.333668654;9.281300307;11.48158364;3.809101357;94.3491522;157.827748;-0.10061373;20.64250435;68.44762148;6.350777289;94.72386867;-17.4008999;-13.58703698;-15.34042447;2.24
10;13.95;13.35;11.55;13.25;11.65;11.05;14.45;13.65;11.45;12.35;1.959209024;2.653337521;3.778160928;0.991261822;3.309456149;6.982213116;1.824965753;9.873611295;11.78044566;2.937107421;101.4819914;155.2701048;-5.620054715;30.96375653;122.5375837;7.654292559;109.5271104;-21.44580737;-16.41973212;-13.9889307;2.87
12;15.41666667;15.28333333;13.81666667;14.78333333;13.45;12.25;16.45;14.31666667;12.58333333;14.15;2.049223121;2.563135806;2.00238391;1.51854705;4.73683399;4.440516874;1.994042749;6.505850799;7.88554678;2.44351903;122.5373756;157.3069355;-65.30527479;95.45845464;123.8695897;49.27054277;-74.40088806;-13.75634583;-16.09467217;17.41125107;5.87
13;16.15;16.25;14.95;15.55;14.35;12.85;17.45;14.65;13.15;15.05;2.094230169;2.518034948;1.114495402;1.782189664;5.450522911;3.169668752;2.078581247;4.821970552;5.938097338;2.196724835;133.0650677;158.3253509;-95.14788482;127.7058037;124.5355927;70.07866788;-166.3648873;-9.911615054;-15.93214219;33.11134196;8.46
14;15.91666667;16.08333333;14.95;15.65;14.45;12.85;17.21666667;14.58333333;12.95;14.68333333;2.448711177;2.802572126;1.252430171;2.856808558;6.320937873;4.020437563;2.052595799;4.125385441;5.333245614;2.66282467;120.0417527;149.4280804;-7.716629006;125.4780832;122.3979467;77.95494623;-51.38729026;-5.838619037;-8.579637482;51.06438109;7.46
15;15.68333333;15.91666667;14.95;15.75;14.55;12.85;16.98333333;14.51666667;12.75;14.31666667;2.803192186;3.087109304;1.39036494;3.931427451;7.191352834;4.871206373;2.026610351;3.428800329;4.728393891;3.128924504;107.0184376;140.5308099;79.71462681;123.2503627;120.2603007;85.83122459;63.59030678;-1.76562302;-1.227132771;69.01742022;5.61
16;15.45;15.75;14.95;15.85;14.65;12.85;16.75;14.45;12.55;13.95;3.157673194;3.371646482;1.528299709;5.006046344;8.061767796;5.721975183;2.000624902;2.732215218;4.123542167;3.595024339;93.99512262;131.6335393;167.1458826;121.0226422;118.1226547;93.70750294;178.5679038;2.307372997;6.12537194;86.97045934;5.83
18;15.05;15.41666667;14.21666667;15.25;14.18333333;11.91666667;16.28333333;13.78333333;11.95;12.61666667;3.803371752;3.882980242;2.244662968;6.028381391;8.436168873;6.861806758;2.766409307;2.535272527;3.561678633;3.312726043;77.02090789;137.9316737;157.7427406;120.6127448;126.0814079;105.4933209;102.7347965;74.54653995;61.22673052;108.9097035;23.17
19;14.85;15.25;13.85;14.95;13.95;11.45;16.05;13.45;11.65;11.95;4.126221031;4.138647122;2.602844598;6.539548914;8.623369411;7.431722546;3.14930151;2.436801182;3.280746866;3.171576895;68.53380052;141.0807409;153.0411696;120.4077961;130.0607845;111.3862299;64.81824285;110.6661234;88.77740981;119.8793256;40.99
21;14.78333333;14.98333333;13.58333333;14.48333333;14.21666667;11.58333333;15.05;13.31666667;10.85;11.61666667;5.978792238;4.572548327;2.879689528;7.539459906;9.095771087;9.261385763;4.891433475;4.823877987;6.212214919;4.582100493;57.5897594;121.0576469;135.2645952;95.89864379;105.9752704;99.87120801;60.69074419;101.150552;97.10315505;107.3013786;89.22
23;14.65;14.71666667;13.25;14.45;14.85;12.11666667;14.45;13.28333333;10.35;11.21666667;7.597486837;5.018488567;2.836459955;8.402534665;8.18331473;9.798733517;6.010426832;6.931148561;8.217429888;5.686908297;46.8777811;99.3096945;110.2840088;70.80709262;77.02503876;82.64938512;56.10178899;88.55131552;98.950134;94.41502236;121.11
24;14.55;14.58333333;13.05;14.65;15.35;12.58333333;14.35;13.31666667;10.25;10.98333333;8.289895832;5.247478203;2.654807917;8.765653929;7.034657535;9.421249663;6.258354206;7.844880732;8.75691083;6.086454303;41.63782335;87.5732892;94.19170956;57.97011758;60.11756408;71.18507319;53.57658312;80.70986472;96.63424034;87.81763959;127.23
2;13.98333333;13.88333333;12.68333333;14.31666667;15.31666667;13.55;14.15;13.78333333;10.65;11.08333333;9.219001193;5.107446891;3.197059964;9.914164351;7.179336017;10.34373267;7.136203283;9.440831014;9.613729433;6.950195172;30.37907076;69.76436336;61.58340417;38.76529243;34.40123817;47.75789049;46.38790945;62.57862149;81.00267623;66.20408299;124.64
4;13.05;12.75;12.35;13.25;14.25;14.55;13.95;14.65;11.65;11.75;9.692393925;4.369404994;4.644868136;11.48494667;9.766007373;12.9436664;8.396046689;10.80526723;10.24840475;7.878584898;18.34148108;57.61932229;28.55139187;26.02959219;16.78353573;23.83214894;37.06097386;41.99903662;54.37133534;36.17173535;131.39
5;12.51666667;12.08333333;11.61666667;12.85;14.05;14.28333333;13.81666667;14.61666667;12.31666667;11.45;9.467523428;4.6609673;5.180698609;11.50667729;9.155855885;11.68624285;9.730838919;11.02714705;10.47246824;8.141251684;21.48050092;63.47796997;22.66046284;27.2290536;14.3075217;16.22130157;32.7010674;35.44581849;45.62665611;34.18252041;144.62
6;11.98333333;11.41666667;10.88333333;12.45;13.85;14.01666667;13.68333333;14.58333333;12.98333333;11.15;9.24265293;4.952529607;5.716529082;11.52840791;8.545704398;10.4288193;11.06563115;11.24902686;10.69653173;8.40391847;24.61952076;69.33661766;16.7695338;28.428515;11.83150768;8.610454198;28.34116094;28.89260035;36.88197688;32.19330547;152.37
8;12.05;11.15;11.11666667;12.28333333;13.45;13.31666667;13.95;14.81666667;13.81666667;11.28333333;8.991200521;5.018752607;7.134722843;12.33208376;9.158220437;10.4682722;11.35870858;12.23874752;11.3601626;9.570658457;26.2133057;67.94891461;6.372214365;23.76725131;8.530340176;0.330093495;24.91618831;16.87923143;17.22733616;22.89831521;144.57
9;12.65;11.55;12.08333333;12.51666667;13.25;12.88333333;14.35;15.08333333;13.98333333;11.71666667;8.964618609;4.7934133;8.017086132;13.114029;10.38088796;11.76514866;10.31699377;13.00658836;11.79972998;10.47473166;24.66807079;60.70256389;1.865823963;17.90652621;7.705186696;-0.339419836;25.85112215;11.41908065;6.317374675;15.59253988;141.4
10;13.25;11.95;13.05;12.75;13.05;12.45;14.75;15.35;14.15;12.15;8.938036697;4.568073992;8.899449421;13.89597424;11.60355549;13.06202511;9.275278972;13.77442921;12.23929737;11.37880486;23.12283589;53.45621316;-2.640566439;12.04580111;6.880033215;-1.008933167;26.78605598;5.95892986;-4.592586812;8.286764548;148.31
12;12.58333333;11.72777778;12.67222222;12.57222222;13.02777778;12.42777778;13.95;14.95;13.59444444;12.06111111;8.635608973;4.363516736;7.752770853;12.58554168;9.388376745;12.09893565;9.403191645;12.53471188;11.37835631;10.07575004;18.14780813;51.46755161;-1.781795056;19.01982295;13.52775857;5.014275234;25.46995452;8.808567504;5.65488369;12.94518424;185.21
13;12.25;11.61666667;12.48333333;12.48333333;13.01666667;12.41666667;13.55;14.75;13.31666667;12.01666667;8.484395111;4.261238108;7.179431569;11.93032541;8.280787373;11.61739093;9.467147982;11.91485322;10.94788578;9.424222638;15.66029425;50.47322084;-1.352409365;22.50683387;16.85162125;8.025879434;24.81190379;10.23338633;10.77861894;15.27439409;187.9
14;12.23333333;11.63333333;12.725;12.425;12.88333333;12.25;13.425;14.66666667;13.125;12.10833333;8.437584166;4.168868947;7.385913538;12.09100191;8.430483916;12.26015988;9.118039409;12.12993869;11.28657026;9.71465088;13.78813087;47.07849676;-2.286305673;20.91780201;18.23528559;10.02099912;24.80089344;8.855092097;9.78363562;13.19808174;177.2
15;12.21666667;11.65;12.96666667;12.36666667;12.75;12.08333333;13.3;14.58333333;12.93333333;12.2;8.390773221;4.076499785;7.592395507;12.25167841;8.580180459;12.90292883;8.768930837;12.34502415;11.62525474;10.00507912;11.91596749;43.68377269;-3.220201982;19.32877015;19.61894993;12.01611881;24.7898831;7.476797868;8.7886523;11.12176939;169.29
16;12.2;11.66666667;13.20833333;12.30833333;12.61666667;11.91666667;13.175;14.5;12.74166667;12.29166667;8.343962275;3.984130624;7.798877476;12.41235492;8.729877002;13.54569778;8.419822264;12.56010962;11.96393922;10.29550736;10.04380411;40.28904862;-4.15409829;17.73973829;21.00261428;14.0112385;24.77887275;6.098503639;7.79366898;9.045457036;155.32
17;12.15;11.82777778;13.55555556;12.42222222;12.52777778;11.62777778;12.9;14.45;12.54444444;12.54444444;8.061763585;3.646603222;7.328080228;11.7231911;7.58766924;13.23671583;7.855128708;11.87314767;11.20388107;9.606097509;5.395704826;34.44876042;-6.867821001;20.44206689;25.44152181;17.36981388;24.40871547;4.866284727;8.126161315;8.474413749;133.29
19;12.05;12.15;14.25;12.65;12.35;11.05;12.35;14.35;12.15;13.05;7.497366204;2.971548418;6.386485732;10.34486346;5.303253718;12.61875192;6.725741595;10.49922378;9.683764764;8.2272778;-3.900493742;22.768184;-12.29526642;25.84672409;34.31933687;24.08696464;23.6684009;2.401846903;8.791145985;7.332327175;137.56
20;11.78333333;11.75;13.85;12.21666667;12.25;11.28333333;12.25;14.08333333;11.88333333;12.68333333;7.816927832;3.359586271;7.167704882;11.38932783;6.779472954;14.04070901;7.220867899;11.68345994;11.4507795;9.535426586;-0.836135815;26.6649815;-8.306227927;20.75101409;31.53271317;24.37165746;23.72864405;3.534515091;11.25992993;6.650998895;144.2
22;11.25;10.95;13.05;11.35;12.05;11.75;12.05;13.55;11.35;11.95;8.456051088;4.135661978;8.730143183;13.47825656;9.731911426;16.88462318;8.211120508;14.05193225;14.98480897;12.15172416;5.29258004;34.45857649;-0.328150934;10.55959409;25.95946577;24.94104309;23.84913034;5.799851467;16.1974978;5.288342335;150.47
23;10.91666667;10.78333333;12.88333333;10.95;12.55;11.81666667;12.15;13.51666667;11.48333333;11.51666667;7.956394966;4.52641733;8.923674035;12.60001372;7.957275645;15.85351236;8.825265867;13.45902506;13.73511704;10.9107362;11.83086555;42.57091236;-2.005956949;13.11230623;29.57028014;26.3001245;24.63549741;9.130399653;17.04544535;6.299684673;153.9
1;10.25;10.45;12.55;10.15;13.55;11.95;12.35;13.45;11.75;10.65;6.957082722;5.307928033;9.310735739;10.84352802;4.408004083;13.79129073;10.05355658;12.27321066;11.23573318;8.428760288;24.90743658;58.7955841;-5.361568981;18.21773052;36.79190888;29.01828732;26.20823154;15.79149602;18.74134045;8.322369349;158.27
3;10.25;9.783333333;11.61666667;9.95;12.55;12.41666667;12.21666667;13.18333333;11.55;9.916666667;6.529875997;3.911011679;9.555758229;12.25062472;7.145796816;16.56786501;8.714807853;14.48733023;14.29267167;10.11492119;19.84657548;59.54739042;-3.366317797;15.15116146;28.24807203;23.75275171;26.29748486;12.03514235;18.75848772;8.618148907;135.13
4;10.25;9.45;11.15;9.85;12.05;12.65;12.15;13.05;11.45;9.55;6.316272635;3.212553502;9.678269473;12.95417307;8.514693183;17.95615215;8.045433487;15.59439002;15.82114092;10.95800164;17.31614492;59.92329357;-2.368692205;13.61787693;23.9761536;21.1199839;26.34211153;10.15696552;18.76706135;8.766038686;129.6
5;9.983333333;9.016666667;11.25;9.783333333;12.08333333;13.01666667;11.88333333;13.05;11.55;9.683333333;5.544902395;3.317745606;9.436295003;12.38741145;7.058135825;16.1949748;7.874215438;14.53367735;15.12197158;10.02889419;22.77411912;66.18950112;-0.575986905;16.56632212;33.27020264;19.14255836;26.67725629;11.94271945;18.29106796;10.95366637;134.76
6;9.716666667;8.583333333;11.35;9.716666667;12.11666667;13.38333333;11.61666667;13.05;11.65;9.816666667;4.773532156;3.422937711;9.194320532;11.82064984;5.601578467;14.43379744;7.702997388;13.47296468;14.42280224;9.099786738;28.23209333;72.45570866;1.216718394;19.5147673;42.56425168;17.16513281;27.01240106;13.72847337;17.81507456;13.14129405;125.01
7;9.45;8.15;11.45;9.65;12.15;13.75;11.35;13.05;11.75;9.95;4.002161916;3.528129816;8.952346061;11.25388822;4.14502111;12.67262009;7.531779338;12.41225201;13.7236329;8.170679286;33.69006753;78.72191621;3.009423694;22.46321249;51.85830072;15.18770727;27.34754583;15.5142273;17.33908116;15.32892173;115.1
8;9.883333333;8.45;11.91666667;9.983333333;12.18333333;13.91666667;12.05;13.11666667;12.18333333;10.01666667;3.825254818;3.248753211;9.664608815;11.7752663;5.438718616;13.59555068;6.72055212;13.24704299;14.77400144;9.035263582;29.31849927;77.52700549;1.231043636;19.62531295;39.77620035;13.05557126;26.29907168;12.27947332;14.14777611;13.66216458;123.91
11;11.85;10.35;13.71666667;11.68333333;12.58333333;14.45;14.08333333;13.78333333;13.38333333;10.68333333;3.172301778;2.650525131;10.21102203;11.50802353;6.706233311;14.29128734;4.908569897;13.20337693;15.43759889;9.332730659;32.73383679;71.40250952;-0.420365247;15.85239604;19.74615644;11.40134626;17.90821687;6.953554265;8.863277284;9.879711919;74.83
13;14.05;12.95;15.45;13.75;13.25;14.85;15.35;14.85;14.05;11.75;2.574024087;2.571575393;8.454797455;8.888025653;4.066472673;11.99103832;4.529514323;9.776880893;12.56331963;6.469327631;57.05078488;63.93316044;3.39033722;19.65816038;28.01447011;16.62144028;5.320403835;9.240732102;11.05949982;8.981835194;84.95
14;13.81666667;12.75;15.38333333;13.45;13.31666667;14.78333333;15.08333333;14.91666667;14.01666667;11.75;2.620732097;2.504102251;8.016814066;9.089963804;5.36604194;12.62768501;4.205527995;10.85176287;13.13543554;6.994735609;39.08989671;55.50870971;-1.672356931;13.6486678;23.52371068;15.31981822;7.274799683;8.427994463;8.604322965;7.175559366;80
17;13.21666667;11.95;15.08333333;12.58333333;13.18333333;14.61666667;14.15;14.91666667;13.91666667;11.81666667;2.565151014;2.48894878;6.588009949;8.653251026;6.776786983;12.77332171;3.047121127;11.68107873;13.35916621;7.428183761;6.014225827;43.10523766;-10.24016894;6.72895946;21.98476043;15.86961208;19.44406259;8.947309737;7.237911651;6.036458791;31.29
18;13.08333333;11.55;14.91666667;12.31666667;12.91666667;14.58333333;13.75;14.78333333;13.88333333;11.88333333;2.416153912;2.608741593;6.035172609;7.812661944;5.588393492;11.64566504;2.536686913;10.36063062;12.43866507;6.810815956;8.860331278;47.55066706;-8.682592643;11.82823626;29.42732904;19.02265006;27.70453379;11.09210029;10.78185404;8.509909872;34.03
20;12.58333333;10.61666667;14.31666667;11.65;12.35;14.45;13.15;14.51666667;13.71666667;11.48333333;2.301655846;2.503558465;6.121613152;7.318083947;5.36909696;11.15724247;2.175146293;9.492252882;12.0108591;6.542749922;4.729650392;61.20416089;-4.620968315;13.98829897;34.08963484;19.23159484;30.02396278;12.99090038;12.87375494;6.952976843;33.66
21;12.21666667;10.08333333;13.88333333;11.25;12.05;14.35;12.95;14.38333333;13.58333333;11.01666667;2.336154882;2.278582524;6.760891034;7.664095032;6.33819392;11.79647657;2.324039887;9.944323244;12.50355428;6.892051693;-2.247135945;70.41222532;-2.11692028;11.04908488;31.30937203;16.28750164;24.08292056;12.74490992;11.42171344;2.922592733;33.87
22;11.85;9.55;13.45;10.85;11.75;14.25;12.75;14.25;13.45;10.55;2.370653918;2.053606584;7.400168917;8.010106117;7.30729088;12.43571068;2.472933481;10.39639361;12.99624946;7.241353465;-9.223922282;79.62028975;0.387127754;8.109870794;28.52910923;13.34340844;18.14187834;12.49891946;9.969671954;-1.107791377;39.93
1;10.15;8.25;12.45;9.55;12.15;14.35;10.55;14.25;13.95;9.25;2.119834899;3.296558812;6.939344349;7.751051542;2.932319901;11.02952855;2.672002994;11.67428799;10.70089716;5.035642958;26.92767785;95.74518159;-2.973731082;22.13084972;29.18745264;9.445241934;30.59600947;12.21473012;6.115503566;16.02354067;42.73
2;9.983333333;8.15;12.15;9.516666667;11.61666667;14.21666667;10.35;14.11666667;13.95;9.416666667;2.269085405;3.109127231;6.56392866;7.667367694;3.493075124;11.47015126;2.886525107;12.10094723;10.91457953;5.473929944;28.00513885;97.27131738;-3.264772884;21.62379746;33.63862043;8.201897598;33.27494636;9.722463544;3.723365147;10.92295991;36.24
3;9.816666667;8.05;11.85;9.483333333;11.08333333;14.08333333;10.15;13.98333333;13.95;9.583333333;2.41833591;2.92169565;6.188512971;7.583683847;4.053830348;11.91077397;3.10104722;12.52760647;11.1282619;5.912216931;29.08259984;98.79745317;-3.555814686;21.1167452;38.08978822;6.958553262;35.95388325;7.230196972;1.331226729;5.82237916;60.22
4;9.65;7.95;11.55;9.45;10.55;13.95;9.95;13.85;13.95;9.75;2.567586415;2.734264069;5.813097281;7.5;4.614585572;12.35139668;3.315569333;12.95426571;11.34194428;6.350503917;30.16006084;100.323589;-3.846856487;20.60969294;42.54095601;5.715208926;38.63282014;4.7379304;-1.06091169;0.721798406;42.1
5;8.983333333;7.216666667;11.18333333;9.516666667;10.21666667;13.68333333;9.55;13.71666667;13.78333333;9.683333333;2.858434547;2.967710488;5.804064969;7.062848624;4.069729307;11.24392483;3.099230249;11.9581461;10.57463689;5.617002611;32.23011983;100.2924735;-1.143905071;21.37945613;46.13476046;10.18924386;41.21106143;7.744409012;1.494779193;0.481198937;26.12
6;8.316666667;6.483333333;10.81666667;9.583333333;9.883333333;13.41666667;9.15;13.58333333;13.61666667;9.616666667;3.149282679;3.201156906;5.795032657;6.625697247;3.524873043;10.13645297;2.882891165;10.96202649;9.807329509;4.883501306;34.30017882;100.2613581;1.559046346;22.14921933;49.7285649;14.6632788;43.78930271;10.75088762;4.050470076;0.240599469;20.69
7;7.65;5.75;10.45;9.65;9.55;13.15;8.75;13.45;13.45;9.55;3.440130811;3.434603325;5.786000346;6.188545871;2.980016778;9.028981116;2.666552081;9.965906883;9.040022124;4.15;36.37023782;100.2302426;4.261997763;22.91898252;53.32236935;19.13731374;46.367544;13.75736624;6.60616096;0;30.34
